,atomic_mass,poissons_ratio,atomic_radius,electrical_resistivity,molar_volume,thermal_conductivity,bulk_modulus,youngs_modulus,group,is_noble_gas,is_transition_metal,is_post_transition_metal,is_rare_earth_metal,is_metalloid,is_alkali,is_alkaline,is_halogen,is_lanthanoid,is_actinoid,van_der_waals_radius,velocity_of_sound,critical_temperature,superconduction_temperature,average_cationic_radius,average_anionic_radius,ionic_radii,boiling_point,vickers_hardness,average_ionic_radius,melting_point,rigidity_modulus,Z,number,density_of_solid,coefficient_of_linear_thermal_expansion
Hf,178.49,0.37,1.55,3.4e-07,13.44,23.0,110.0,78.0,4,False,True,False,False,False,False,False,False,False,False,,3010.0,,0.128,0.85,0.0,{4: 0.85},4876.0,1760.0,0.85,2506.0 K,30.0,72,72,13310.0,5.9e-06
Ta,180.94788,0.34,1.45,1.35e-07,10.85,57.0,200.0,186.0,5,False,True,False,False,False,False,False,False,False,False,,3400.0,,4.47,0.82,0.0,"{3: 0.86, 4: 0.82, 5: 0.78}",5731.0,873.0,0.82,3290.0 K,69.0,73,73,16650.0,6.3e-06
W,183.84,0.28,1.35,5.4e-08,9.47,170.0,310.0,411.0,6,False,True,False,False,False,False,False,False,False,False,,5174.0,,0.015,0.7666666666666666,0.0,"{4: 0.8, 5: 0.76, 6: 0.74}",5828.0,3430.0,0.7666666666666666,3695.0 K,161.0,74,74,19250.0,4.5e-06
Re,186.207,0.3,1.35,1.8e-07,8.86,48.0,370.0,463.0,7,False,True,False,False,False,False,False,False,False,False,,4700.0,,1.7,0.7124999999999999,0.0,"{4: 0.77, 5: 0.72, 6: 0.69, 7: 0.67}",5869.0,2450.0,0.7124999999999999,3459.0 K,178.0,75,75,21020.0,6.2e-06
Os,190.23,0.25,1.3,8.1e-08,8.42,88.0,,,8,False,True,False,False,False,False,False,False,False,False,,4940.0,,0.66,0.673,0.0,"{4: 0.77, 5: 0.715, 6: 0.685, 7: 0.665, 8: 0.53}",5285.0,,0.673,3306.0 K,222.0,76,76,22610.0,5.1e-06
Ir,192.217,0.26,1.35,4.7e-08,8.52,150.0,320.0,528.0,9,False,True,False,False,False,False,False,False,False,False,,4825.0,,0.11,0.765,0.0,"{3: 0.82, 4: 0.765, 5: 0.71}",4701.0,1760.0,0.765,2739.0 K,210.0,77,77,22650.0,6.4e-06
Pt,195.084,0.38,1.35,1.06e-07,9.09,72.0,230.0,168.0,10,False,True,False,False,False,False,False,False,False,False,1.75,2680.0,,,0.805,0.0,"{2: 0.94, 4: 0.765, 5: 0.71}",4098.0,549.0,0.805,2041.4 K,61.0,78,78,21090.0,8.8e-06
Au,196.966569,0.44,1.35,2.2e-08,10.21,320.0,220.0,78.0,11,False,True,False,False,False,False,False,False,False,False,1.66,1740.0,,,1.07,0.0,"{1: 1.51, 3: 0.99, 5: 0.71}",3129.0,216.0,1.07,1337.33 K,27.0,79,79,19300.0,1.42e-05
Hg,200.59,,1.5,9.6e-07,14.09,8.3,25.0,,12,False,True,False,False,False,False,False,False,False,False,1.55,1407.0,1750.0,3.95,1.245,0.0,"{1: 1.33, 2: 1.16}",629.88,,1.245,234.32 K,,80,80,,
Tl,204.3833,0.45,1.9,1.5e-07,17.22,46.0,43.0,8.0,13,False,False,True,False,False,False,False,False,False,False,1.96,818.0,,2.38,1.3325,0.0,"{1: 1.64, 3: 1.025}",1746.0,,1.3325,577.0 K,2.8,81,81,11850.0,2.99e-05
Pb,207.2,0.44,1.8,2.1e-07,18.26,35.0,46.0,16.0,14,False,False,True,False,False,False,False,False,False,False,2.02,1260.0,,7.2,1.1225,0.0,"{2: 1.33, 4: 0.915}",2022.0,,1.1225,600.61 K,5.6,82,82,11340.0,2.89e-05
Bi,208.9804,0.33,1.6,1.3e-06,21.31,8.0,31.0,32.0,15,False,False,True,False,False,False,False,False,False,False,2.07,1790.0,,,1.035,0.0,"{3: 1.17, 5: 0.9}",1837.0,,1.035,544.4 K,12.0,83,83,9780.0,1.34e-05
Po,210.0,,1.9,4e-07,22.97,20.0,,,16,False,False,False,False,True,False,False,False,False,False,1.97,,,,0.9450000000000001,0.0,"{4: 1.08, 6: 0.81}",1235.0,,0.9450000000000001,527.0 K,,84,84,9196.0,
At,210.0,,,,,2.0,,,17,False,False,False,False,False,False,False,True,False,False,2.02,,,,0.76,0.0,{7: 0.76},,,0.76,575.0 K,,85,85,,
Rn,220.0,,,,50.5,0.00361,,,18,True,False,False,False,False,False,False,False,False,False,2.2,,377.0,,0.0,0.0,{},211.3,,0.0,202.0 K,,86,86,,
