mp_id,Formula,IPF,Density,E_above_Hull,G_VRH,K_VRH,Elastic_Anisotropy,poisson_ratio,Y_Modulus,PC 1,PC 2,PC 3
mp-8499,Ho2Cr2C3,0.17932542399999998,8.354270274,0.0,72.0,167.0,0.74,0.31,188.64,-1.6661805641443148,-0.19001215772817687,1.196169378132649
mp-8577,Sc3GaC,0.11832742199999999,3.991578072,0.0,85.0,100.0,0.05,0.17,198.9,-0.6083331669142187,-0.20302602972714429,0.19446080400297744
mp-8578,Sc3InC,0.129911752,4.588766124,0.0,82.0,97.0,0.0,0.17,191.88,-0.5579361808561866,-0.2238124004769162,-0.039476982115770894
mp-9166,MgCN2,0.10881939300000001,2.385824698,0.0,35.0,96.0,5.75,0.34,93.8,-0.36866466570573053,2.3863058444072265,1.9034775520257143
mp-9812,ZnCO3,0.572758872,4.244193742,0.0,49.0,117.0,0.48,0.32,129.36,0.45364707364983986,0.6381803072678646,-0.43950117283767437
mp-9880,YB2C,0.124591622,4.692792354,0.0,140.0,177.0,0.29,0.19,333.2,-0.5154380827432885,0.3640086025307705,0.26200789694210813
mp-9957,V2GeC,0.12456377800000001,6.470529407000001,0.0,101.0,180.0,0.38,0.26,254.52,-0.4497904979897331,-0.2894813497103592,-0.017315646238231026
mp-996161,Nb3AlC2,0.10335772300000001,6.7024893489999995,0.0,137.0,203.0,0.07,0.22,334.28,0.593874186028114,0.93890104166309,-1.0907549671418109
mp-1025183,Ho2B4C,0.133525342,7.966367758,0.0,128.0,164.0,0.65,0.19,304.64,-1.7794133824715814,-0.13808638021864894,0.887121138352404
mp-1029375,BaCN2,0.190826393,3.498344482,0.0,11.0,48.0,3.95,0.39,30.58,0.7425534801011825,2.2212902854308414,-0.012477123816757094
mp-1029699,Cs2CN2,0.35444542799999995,3.4693313339999996,0.0,4.0,18.0,3.34,0.39,11.12,2.408035659590528,-0.6678019042877337,3.0003582922396395
mp-10343,Sc2BC2,0.106054454,3.474998523,0.0,71.0,138.0,3.84,0.28,181.76,-0.6787192486537363,0.0892773646251517,0.47970765119266157
mp-10608,Y3SnC,0.141478401,5.609966823,0.0,63.0,82.0,0.07,0.2,151.2,-0.39706731114601884,0.5453224215495788,-0.1889676067762583
mp-10611,La3PbC,0.182399385,7.3326813789999985,0.0,47.0,69.0,0.08,0.22,114.68,-0.5846572393483656,1.991284734469587,1.6208554708963194
mp-10712,ScRh3C,0.11859820800000001,8.768933213,0.0,90.0,215.0,0.08,0.32,237.6,-0.5060380926857401,-0.10876425113194689,-0.18092596196342856
mp-10714,TmRh3C,0.149888943,11.27552296,0.0,82.0,207.0,0.01,0.32,216.48,-0.9843592382549934,-0.3197925739038531,-0.17251260384596356
mp-10969,CdCN2,0.13859328,4.596316687,0.0,25.0,86.0,1.82,0.37,68.5,0.15039433907844507,1.1499584455922907,0.5919976638247078
mp-12990,Ti2AlC,0.117383554,3.9931009989999997,0.0,112.0,137.0,0.02,0.18,264.32,-0.03681025810121567,-0.13155003874489435,-0.23976093425585832
mp-20350,DyCoC,0.177834677,8.53903468,0.0,57.0,136.0,1.79,0.32,150.48,-0.7747403934949976,-0.11030118329942747,0.07694762266855333
mp-21003,Y2ReC2,0.133203472,7.687495087,0.0,74.0,124.0,0.29,0.25,185.0,-0.5884437674226977,0.5481929713704178,0.0027013228690315415
mp-21023,Ti3SnC2,0.128994251,5.906377008,0.0,112.0,158.0,0.03,0.21,271.04,0.06749907480797315,-0.10392326268348091,-0.4556631220008841
mp-21035,Sc3PbC,0.155073298,6.182344982,0.0,76.0,97.0,0.03,0.19,180.88,-0.5166243928554823,0.07532711555301481,0.3136576519736269
mp-21422,YCoC,0.147149473,5.808143712000001,0.0,60.0,143.0,1.67,0.32,158.4,-0.4435150639366438,0.0911613049261867,-0.054974264311342495
mp-22394,ThRu3C,0.11898601,11.98890699,0.0,105.0,223.0,0.06,0.3,273.0,-1.1042523831523927,-0.30249334220878427,0.22086522155332355
mp-22793,AlFe3C,0.17341104699999998,6.473381428,0.0,98.0,230.0,0.97,0.31,256.76,-0.9205297407914648,-0.0033448812861666985,0.5667585332842257
mp-22793,AlFe3C,0.17341104708130356,6.473381427944479,0.0,98.0,230.0,0.97,0.31,256.76,-0.9205297407914648,-0.0033448812861666985,0.5667585332842257
mp-28479,Sc2CCl2,0.095106064,2.758216961,0.0,14.0,20.0,206.08,0.21,33.88,0.33377936141826076,-0.5876138153410992,0.7453177035749328
mp-30161,Si2CN4,0.059473705,2.181959777,0.0,30.0,128.0,141.05,0.39,83.4,-0.7551900320428919,2.179796839823574,1.9877119318027554
mp-3871,Ti2SnC,0.127594033,6.244640757000001,0.0,92.0,135.0,0.01,0.22,224.48,0.07640578551012576,-0.19593539952464167,-0.4484855866897938
mp-4124,CaCN2,0.14150238099999998,2.237002426,0.0,22.0,69.0,3.45,0.35,59.4,-0.17292140713918433,2.26152038181738,2.1366189435224334
mp-4385,CdCO3,0.508335701,4.744605815,0.0,32.0,91.0,0.75,0.34,85.76,0.7649589887140309,0.7254151064367389,-0.8015022835631543
mp-5383,NdNiC2,0.199520705,7.069543236,0.0,86.0,172.0,0.34,0.29,221.88,-0.7784511175076427,0.3091179912509854,0.3039402942796862
mp-5443,Nb2SnC,0.110208031,8.127472796000001,0.0,79.0,160.0,0.17,0.29,203.82,0.5027998887311141,0.4563572295199074,-1.011029918406368
mp-568066,Pr2CBr,0.134248661,6.423642642999999,0.0,37.0,62.0,0.02,0.25,92.5,-1.8688911775294155,-0.7538244894706787,0.7562412439055344
mp-568556,Mg2B24C,0.060475733,2.59843182,0.0,197.0,209.0,0.03,0.14,449.16,-3.354082676634028,4.795346596354089,4.010684726021423
mp-568803,Mg(B6C)2,0.058069450999999994,2.701806056,0.0,214.0,229.0,0.19,0.14,487.92,-1.9314960482556052,2.5014313916969844,2.2466360271618537
mp-570074,Sc3IrC4,0.117474862,6.629449449,0.925750625,122.0,190.0,0.11,0.24,302.56,-1.0726181222229043,0.09121746324727208,0.7326974158966488
mp-570822,Tb3AlC,0.11183684199999999,7.21089154,0.0,12.0,36.0,6.51,0.35,32.4,-1.4490818238498193,0.8417069363198331,0.5488648542113213
mp-6916,Sm(BC)2,0.159040181,6.0334275239999995,0.0,125.0,171.0,0.84,0.21,302.5,-0.3388630419625127,0.5732506904938315,0.41124856519027675
mp-7130,ScRu3C,0.097320875,8.758367763999999,0.0,140.0,234.0,0.19,0.25,350.0,-0.6593790929821658,-0.44394337605514683,-0.028036113224528238
mp-864790,Nd2BC,0.203908216,5.912750836,0.0,26.0,44.0,2.37,0.25,65.0,-0.8060538531169961,0.47855932122431766,0.031631820935853816
mp-9956,AlCr2C,0.18795581600000005,5.338343678999999,0.0,134.0,189.0,0.02,0.21,324.28,-0.3466589803152753,0.011035289871446629,0.4283956024687804
mp-9987,Nb2PC,0.09821700800000001,6.873148549,0.0,140.0,224.0,0.3,0.24,347.2,0.2532430888997953,0.5024606805708106,-0.6412262938084684
mp-10046,V2AsC,0.109822295,6.552641391,0.0,115.0,203.0,0.46,0.26,289.8,-0.15332875962250547,-0.3347934181257818,-0.08986159395587417
mp-1018048,LaNiC2,0.15533006300000002,6.595556733,0.0,77.0,125.0,0.36,0.24,190.96,-0.6666462449998544,0.6891540577155006,0.8747088755372039
mp-10289,Ca(BC)2,0.130896342,2.658159976,0.0,95.0,135.0,2.57,0.22,231.8,-0.6335153848249794,1.430307479586663,1.617894352853039
mp-10716,YbRh3C,0.150501244,11.59249336,0.0,80.0,191.0,0.23,0.32,211.2,-1.2063118054369242,-0.08006930545400771,0.1188116758636388
mp-10853,Pr(BC)2,0.102160733,5.463420048,0.0,120.0,162.0,0.81,0.2,288.0,-1.5593556693361061,0.021026112095972046,0.7297592179687259
mp-12537,Ti2GaC,0.128972264,5.332772545,0.0,108.0,139.0,0.04,0.19,257.04,-0.04106115546680206,-0.14752121911797786,-0.3093058723330919
mp-13501,ErCoC2,0.14203071,8.803426024,0.0,99.0,173.0,0.45,0.26,249.48,-1.088080644521164,-0.008215583704949082,0.13903535909349513
mp-15856,DyRh3C,0.15534071,10.96360491,0.0,78.0,200.0,0.0,0.33,207.48,-0.8059971173136691,-0.04463919546309923,-0.13042030712437605
mp-19147,NiCO3,0.578354853,4.230353742,0.0,68.0,125.0,0.64,0.27,172.72,0.31135074676519864,0.688899609864532,-0.3078904226610814
mp-19754,TmCoC,0.173001706,9.172724085,0.0,61.0,142.0,1.92,0.31,159.82,-0.9531025144363213,-0.3854545617401809,0.034855325946965776
mp-19817,Y3InC,0.14801413300000002,5.456268402,0.0,63.0,77.0,0.01,0.18,148.68,-0.46413726606491373,0.5729502312064697,-0.28372567853830305
mp-19835,Nb2InC,0.127333601,8.050504584,0.0,97.0,158.0,0.07,0.25,242.5,0.43572993381221925,0.4839850391767992,-1.1057879901684153
mp-19893,PbCO3,0.440652311,6.271760759,0.0,21.0,56.0,0.47,0.33,55.86,0.498281071702093,0.9265978747076761,-0.3441410562269182
mp-20315,Ti2InC,0.14383771,6.063190463,0.0,96.0,127.0,0.09,0.2,230.4,0.009335830591230707,-0.16830758986775016,-0.5432436584518398
mp-20325,Ti3InC,0.148108156,5.857246751,0.0,92.0,145.0,0.12,0.24,228.16,0.1420594914366493,-0.2042464427761079,-0.7284250741198304
